Jump 1 (N)	
747,43
747,48	
747,48	
747,43	
747,48	
747,48	
747,48	
747,43	
747,48	
747,48	
747,43	
747,43	
747,39	
747,39	
747,39	
747,39	
747,43	
747,39	
747,43	
747,48	
747,48	
747,52	
747,48	
747,48	
747,48	
747,48	
747,43	
747,48	
747,48	
747,52	
747,57	
747,61	
747,66	
747,70	
747,75	
747,75	
747,79	
747,88	
747,93	
747,88	
747,97	
748,01	
748,06	
748,15	
748,15	
748,19	
748,24	
748,28	
748,28	
748,28	
748,37	
748,37	
748,42	
748,46	
748,51	
748,51	
748,51	
748,60	
748,55	
748,55	
748,64	
748,60	
748,64	
748,64	
748,69	
748,78	
748,73	
748,78	
748,82	
748,87	
748,82	
748,91	
748,82	
748,91	
748,87	
748,91	
748,91	
749,00	
749,00	
749,04	
749,09	
749,04	
749,09	
749,04	
749,00	
748,87	
748,87	
748,78	
748,64	
748,51	
748,51	
748,46	
748,38	
748,38	
748,24	
748,20	
748,15	
748,06	
747,93	
747,80	
747,66	
747,44	
747,35	
747,17	
746,99	
746,86	
746,68	
746,50	
746,23	
746,01	
745,83	
745,61	
745,34	
745,12	
744,94	
744,72	
744,45	
744,27	
743,96	
743,78	
743,47	
743,20	
742,89	
742,53	
742,26	
741,90	
741,59	
741,19	
740,92	
740,57	
740,25	
739,94	
739,63	
739,32	
739,00	
738,56	
738,24	
737,84	
737,40	
736,99	
736,55	
736,10	
735,65	
735,07	
734,63	
734,14	
733,65	
733,20	
732,71	
732,31	
731,86	
731,32	
730,88	
730,30	
729,76	
729,09	
728,51	
727,80	
727,08	
726,41	
725,65	
724,89	
724,18	
723,42	
722,71	
721,95	
721,19	
720,43	
719,67	
718,87	
718,11	
717,35	
716,50	
715,74	
714,98	
714,18	
713,42	
712,66	
711,90	
711,19	
710,52	
709,85	
709,13	
708,51	
707,84	
707,21	
706,59	
705,96	
705,38	
704,71	
704,13	
703,46	
702,79	
702,17	
701,54	
700,96	
700,29	
699,62	
699,04	
698,46	
697,84	
697,30	
696,68	
696,05	
695,43	
694,80	
694,13	
693,42	
692,57	
691,77	
690,96	
690,07	
689,09	
688,19	
687,21	
686,23	
685,20	
684,04	
682,93	
681,72	
680,43	
679,09	
677,61	
676,14	
674,53	
672,84	
671,09	
669,26	
667,34	
665,38	
663,24	
661,09	
658,77	
656,36	
653,95	
651,41	
648,73	
645,91	
643,10	
640,20	
637,16	
634,04	
630,87	
627,57	
624,35	
620,87	
617,43	
613,86	
610,24	
606,49	
602,70	
598,81	
594,89	
590,91	
586,85	
582,74	
578,59	
574,53	
570,33	
566,05	
561,80	
557,47	
553,14	
548,72	
544,35	
540,02	
535,64	
531,22	
526,85	
522,47	
518,10	
513,72	
509,35	
505,06	
500,78	
496,45	
492,16	
487,92	
483,68	
479,57	
475,42	
471,31	
467,25	
463,14	
459,08	
455,11	
451,05	
447,03	
442,97	
438,90	
434,84	
430,74	
426,67	
422,57	
418,55	
414,49	
410,38	
406,36	
402,21	
398,06	
394,00	
389,89	
385,79	
381,68	
377,53	
373,29	
369,14	
364,99	
360,75	
356,46	
352,13	
347,76	
343,34	
338,79	
334,33	
329,73	
325,09	
320,50	
315,90	
311,35	
306,80	
302,25	
297,78	
293,41	
289,04	
284,66	
280,47	
276,28	
272,13	
268,06	
264,05	
260,17	
256,24	
252,40	
248,61	
244,86	
241,20	
237,54	
233,97	
230,40	
226,96	
223,53	
220,23	
216,97	
213,80	
210,72	
207,73	
204,78	
201,84	
198,98	
196,22	
193,40	
190,73	
188,00	
185,37	
182,83	
180,28	
177,87	
175,55	
173,32	
171,13	
168,99	
166,94	
164,93	
163,01	
161,09	
159,26	
157,52	
155,69	
153,99	
152,43	
150,78	
149,26	
147,83	
146,45	
145,06	
143,81	
142,56	
141,36	
140,20	
139,04	
137,88	
136,85	
135,78	
134,71	
133,72	
132,65	
131,67	
130,69	
129,80	
128,77	
127,83	
126,85	
125,96	
125,07	
124,04	
123,15	
122,21	
121,27	
120,38	
119,40	
118,55	
117,70	
116,81	
115,92	
115,02	
114,22	
113,37	
112,48	
111,77	
110,96	
110,29	
109,58	
108,96	
108,38	
107,84	
107,39	
107,04	
106,68	
106,37	
106,14	
105,97	
105,79	
105,74	
105,65	
105,56	
105,56	
105,52	
105,43	
105,43	
105,43	
105,43	
105,39	
105,43	
